no_executables;name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;no_executables
5;edge;EDGE;1199456,6107;365,7489;1199692;308;5
5;intermediary;INTERMEDIARY;0,0000;365,7489;0;308;5
5;Cloud;CLOUD;308,4939;365,7489;308;0;5
10;edge;EDGE;1199456,7800;944,2914;1199692;308;10
10;intermediary;INTERMEDIARY;0,0000;944,2914;0;308;10
10;Cloud;CLOUD;308,4939;944,2914;308;0;10
15;edge;EDGE;799671,1663;1166,2960;799919;400081;10
15;intermediary;INTERMEDIARY;399715,2106;1486,9009;399703;378;15
15;Cloud;CLOUD;377,8685;1486,9009;378;0;15
20;edge;EDGE;480096,0024;1024,6857;480068;719932;8
20;intermediary;INTERMEDIARY;719250,5033;1947,3558;719514;418;20
20;Cloud;CLOUD;416,0915;1947,3558;418;0;20
25;edge;EDGE;383227,4664;1064,9291;383414;816586;8
25;intermediary;INTERMEDIARY;816099,7005;2434,8987;816152;434;25
25;Cloud;CLOUD;433,6624;2434,8987;434;0;25
30;edge;EDGE;319806,3938;1060,5818;319801;880199;8
30;intermediary;INTERMEDIARY;879508,6876;2970,4581;879752;447;30
30;Cloud;CLOUD;447,2258;2970,4581;447;0;30
35;edge;EDGE;307615,6557;1240,2662;307757;892243;9
35;intermediary;INTERMEDIARY;891701,6555;3547,1710;891801;442;35
35;Cloud;CLOUD;445,6804;3547,1710;442;0;35
40;edge;EDGE;299245,5540;1287,6688;299147;900853;10
40;intermediary;INTERMEDIARY;900079,0658;3930,6382;900414;439;40
40;Cloud;CLOUD;438,8636;3930,6382;439;0;40
45;edge;EDGE;213017,5984;1096,7463;213186;986814;8
45;intermediary;INTERMEDIARY;986295,7711;4424,2655;986366;448;45
45;Cloud;CLOUD;447,2798;4424,2655;448;0;45
50;edge;EDGE;216685,2367;1239,7288;216588;983412;9
50;intermediary;INTERMEDIARY;958565,5844;4911,7867;958952;24460;49
50;Cloud;CLOUD;24510,2865;4962,6457;24460;0;50
55;edge;EDGE;196393,9535;1291,8445;196781;1003219;9
55;intermediary;INTERMEDIARY;915898,4845;5269,5522;915790;87429;51
55;Cloud;CLOUD;87467,4373;5499,1171;87429;0;55
60;edge;EDGE;179667,9339;1295,9637;179565;1020435;9
60;intermediary;INTERMEDIARY;840420,7012;5491,9206;840696;179739;51
60;Cloud;CLOUD;179670,3383;6049,8787;179739;0;60
65;edge;EDGE;184775,4990;1394,6399;184664;1015336;10
65;intermediary;INTERMEDIARY;755824,8813;5705,9563;756070;259266;51
65;Cloud;CLOUD;259157,9937;6626,7055;259266;0;65
70;edge;EDGE;171550,9775;1360,8895;171690;1028310;10
70;intermediary;INTERMEDIARY;701575,8521;5785,8900;701527;326783;51
70;Cloud;CLOUD;326633,2981;7088,8470;326783;0;70
75;edge;EDGE;159720,9140;1405,9141;159774;1040226;10
75;intermediary;INTERMEDIARY;623749,7832;5740,9544;623864;416362;49
75;Cloud;CLOUD;416288,8577;7651,6212;416362;0;75
80;edge;EDGE;149403,4134;1327,0060;149451;1050549;10
80;intermediary;INTERMEDIARY;584990,5492;5820,8753;585063;465486;49
80;Cloud;CLOUD;465364,9631;8149,2492;465486;0;80
85;edge;EDGE;140864,8904;1420,5915;140736;1059264;10
85;intermediary;INTERMEDIARY;550526,2005;5951,4264;550835;508429;49
85;Cloud;CLOUD;508368,4717;8684,2161;508429;0;85
90;edge;EDGE;133138,0985;1399,1421;133282;1066718;10
90;intermediary;INTERMEDIARY;519429,7880;5995,0727;519391;547327;49
90;Cloud;CLOUD;547193,1468;9160,5244;547327;0;90
95;edge;EDGE;114034,3336;1237,3970;114061;1085939;9
95;intermediary;INTERMEDIARY;504349,8540;6069,4711;504508;581431;49
95;Cloud;CLOUD;581377,3479;9710,7749;581431;0;95
100;edge;EDGE;119973,2299;1411,0193;119893;1080107;10
100;intermediary;INTERMEDIARY;467441,0837;6153,7090;467694;612413;49
100;Cloud;CLOUD;612347,4054;10174,0201;612413;0;100
