reqPerEdgePerSecond;name;type;processing_earnings;storage_earnings;processed_reqs;delegated_reqs;no_executables
100;edge;EDGE;1071828,3630;94,4291;10716;1284;10
100;intermediary;INTERMEDIARY;125678,8574;94,4291;1279;5;10
100;Cloud;CLOUD;585,9182;94,4291;5;0;10
200;edge;EDGE;1569690,0673;94,4291;15533;8467;10
200;intermediary;INTERMEDIARY;828570,7105;94,4291;8455;12;10
200;Cloud;CLOUD;1404,8797;94,4291;12;0;10
300;edge;EDGE;1755276,5711;94,4291;17297;18703;10
300;intermediary;INTERMEDIARY;1841566,6892;94,4291;18687;16;10
300;Cloud;CLOUD;1770,7324;94,4291;16;0;10
400;edge;EDGE;1868197,6606;94,4291;18237;29763;10
400;intermediary;INTERMEDIARY;2930228,0036;94,4291;29738;25;10
400;Cloud;CLOUD;2660,7461;94,4291;25;0;10
500;edge;EDGE;1919999,9194;94,4291;18609;41391;10
500;intermediary;INTERMEDIARY;4064418,5283;94,4291;41220;171;10
500;Cloud;CLOUD;17155,2058;94,4291;171;0;10
600;edge;EDGE;1976732,6308;94,4291;18990;53010;10
600;intermediary;INTERMEDIARY;5114856,0500;94,4291;51846;1164;10
600;Cloud;CLOUD;112050,2478;94,4291;1164;0;10
700;edge;EDGE;2011252,5415;94,4291;19183;64817;10
700;intermediary;INTERMEDIARY;6017480,5620;94,4291;60936;3881;10
700;Cloud;CLOUD;375671,7938;94,4291;3881;0;10
800;edge;EDGE;2052132,6260;94,4291;19365;76635;10
800;intermediary;INTERMEDIARY;6664294,5589;94,4291;67486;9149;10
800;Cloud;CLOUD;893010,1422;94,4291;9149;0;10
900;edge;EDGE;2073215,4327;94,4291;19440;88560;10
900;intermediary;INTERMEDIARY;7114880,0451;94,4291;72012;16548;10
900;Cloud;CLOUD;1619187,5297;94,4291;16548;0;10
1000;edge;EDGE;2089151,6939;94,4291;19513;100487;10
1000;intermediary;INTERMEDIARY;7438444,4142;94,4291;75111;25376;10
1000;Cloud;CLOUD;2488548,1087;94,4291;25376;0;10
1100;edge;EDGE;2118405,8088;94,4291;19632;112368;10
1100;intermediary;INTERMEDIARY;7667868,3066;94,4291;77344;35024;10
1100;Cloud;CLOUD;3433636,6748;94,4291;35024;0;10
1200;edge;EDGE;2138117,4146;94,4291;19666;124334;10
1200;intermediary;INTERMEDIARY;7825369,9284;94,4291;78886;45448;10
1200;Cloud;CLOUD;4457110,0878;94,4291;45448;0;10
1300;edge;EDGE;2166576,2504;94,4291;19749;136251;10
1300;intermediary;INTERMEDIARY;7942310,6259;94,4291;79999;56252;10
1300;Cloud;CLOUD;5510123,0858;94,4291;56252;0;10
1400;edge;EDGE;2181366,6635;94,4291;19773;148227;10
1400;intermediary;INTERMEDIARY;8053175,2667;94,4291;80976;67251;10
1400;Cloud;CLOUD;6588189,5675;94,4291;67251;0;10
1500;edge;EDGE;2198734,6508;94,4291;19777;160223;10
1500;intermediary;INTERMEDIARY;8102113,6983;94,4291;81662;78561;10
1500;Cloud;CLOUD;7721002,9964;94,4291;78561;0;10
1600;edge;EDGE;2213247,3014;94,4291;19811;172189;10
1600;intermediary;INTERMEDIARY;8185509,7499;94,4291;82239;89950;10
1600;Cloud;CLOUD;8823140,2194;94,4291;89950;0;10
1700;edge;EDGE;2238715,0737;94,4291;19895;184105;10
1700;intermediary;INTERMEDIARY;8216450,3759;94,4291;82625;101480;10
1700;Cloud;CLOUD;9965742,5287;94,4291;101480;0;10
1800;edge;EDGE;2247910,8586;94,4291;19878;196122;10
1800;intermediary;INTERMEDIARY;8274844,3308;94,4291;83136;112986;10
1800;Cloud;CLOUD;11103693,7111;94,4291;112986;0;10
1900;edge;EDGE;2267085,9279;94,4291;19897;208103;10
1900;intermediary;INTERMEDIARY;8309446,3720;94,4291;83514;124589;10
1900;Cloud;CLOUD;12252343,5376;94,4291;124589;0;10
2000;edge;EDGE;2285003,4893;94,4291;19941;220059;10
2000;intermediary;INTERMEDIARY;8355632,9081;94,4291;83741;136318;10
2000;Cloud;CLOUD;13391272,8291;94,4291;136318;0;10
2100;edge;EDGE;2300672,2183;94,4291;19926;232074;10
2100;intermediary;INTERMEDIARY;8379687,7112;94,4291;83997;148077;10
2100;Cloud;CLOUD;14553247,8652;94,4291;148077;0;10
2200;edge;EDGE;2312495,1279;94,4291;19903;244097;10
2200;intermediary;INTERMEDIARY;8402396,2243;94,4291;84263;159834;10
2200;Cloud;CLOUD;15719547,3678;94,4291;159834;0;10
2300;edge;EDGE;2319387,3319;94,4291;19916;256084;10
2300;intermediary;INTERMEDIARY;8432302,6920;94,4291;84410;171674;10
2300;Cloud;CLOUD;16880135,8767;94,4291;171674;0;10
2400;edge;EDGE;2339994,1424;94,4291;19937;268063;10
2400;intermediary;INTERMEDIARY;8426551,0877;94,4291;84271;183792;10
2400;Cloud;CLOUD;18069758,1405;94,4291;183792;0;10
2500;edge;EDGE;2347615,6989;94,4291;19948;280052;10
2500;intermediary;INTERMEDIARY;8467543,0325;94,4291;84715;195337;10
2500;Cloud;CLOUD;19223562,7309;94,4291;195337;0;10
2600;edge;EDGE;2348240,6794;94,4291;19843;292157;10
2600;intermediary;INTERMEDIARY;8473112,7169;94,4291;84754;207403;10
2600;Cloud;CLOUD;20414634,5691;94,4291;207403;0;10
2700;edge;EDGE;2381319,5735;94,4291;19939;304061;10
2700;intermediary;INTERMEDIARY;8473065,8483;94,4291;84756;219305;10
2700;Cloud;CLOUD;21583017,8837;94,4291;219305;0;10
2800;edge;EDGE;2386792,3284;94,4291;19953;316047;10
2800;intermediary;INTERMEDIARY;8476233,9967;94,4291;84768;231279;10
2800;Cloud;CLOUD;22774359,9271;94,4291;231279;0;10
2900;edge;EDGE;2402497,4718;94,4291;19992;328008;10
2900;intermediary;INTERMEDIARY;8521180,4539;94,4291;84978;243030;10
2900;Cloud;CLOUD;23910335,6829;94,4291;243030;0;10
3000;edge;EDGE;2417447,6736;94,4291;19958;340042;10
3000;intermediary;INTERMEDIARY;8519768,6052;94,4291;84985;255057;10
3000;Cloud;CLOUD;25095566,7958;94,4291;255057;0;10
3100;edge;EDGE;2426374,7900;94,4291;20002;351998;10
3100;intermediary;INTERMEDIARY;8514685,8505;94,4291;85118;266880;10
3100;Cloud;CLOUD;26293044,3342;94,4291;266880;0;10
3200;edge;EDGE;2429435,6679;94,4291;19924;364076;10
3200;intermediary;INTERMEDIARY;8510202,7384;94,4291;84937;279139;10
3200;Cloud;CLOUD;27490415,7925;94,4291;279139;0;10
3300;edge;EDGE;2443443,9895;94,4291;19929;376071;10
3300;intermediary;INTERMEDIARY;8538472,1099;94,4291;85273;290798;10
3300;Cloud;CLOUD;28650494,2275;94,4291;290798;0;10
3400;edge;EDGE;2455451,4175;94,4291;19991;388009;10
3400;intermediary;INTERMEDIARY;8554439,3547;94,4291;85140;302869;10
3400;Cloud;CLOUD;29823755,0865;94,4291;302869;0;10
3500;edge;EDGE;2470878,3499;94,4291;20009;399991;10
3500;intermediary;INTERMEDIARY;8545606,7779;94,4291;85206;314785;10
3500;Cloud;CLOUD;31020718,3780;94,4291;314785;0;10
3600;edge;EDGE;2483957,4350;94,4291;19997;412003;10
3600;intermediary;INTERMEDIARY;8552410,4137;94,4291;85094;326909;10
3600;Cloud;CLOUD;32197679,6789;94,4291;326909;0;10
3700;edge;EDGE;2487299,7079;94,4291;19958;424042;10
3700;intermediary;INTERMEDIARY;8567681,6940;94,4291;85208;338834;10
3700;Cloud;CLOUD;33380907,8872;94,4291;338834;0;10
3800;edge;EDGE;2492610,1481;94,4291;19994;436006;10
3800;intermediary;INTERMEDIARY;8561212,2041;94,4291;85100;350906;10
3800;Cloud;CLOUD;34574861,3378;94,4291;350906;0;10
3900;edge;EDGE;2509043,6845;94,4291;20007;447993;10
3900;intermediary;INTERMEDIARY;8574789,5642;94,4291;85124;362869;10
